Date,avr_d,tw_d,avr_t,tw_t
2016/4/11,-2.6328E-05,0.001707,-2.6328E-05,0.001707
2016/4/12,-0.001855549,-0.004381,-0.001881877,-0.002674
2016/4/13,0.000650824,0.013228,-0.001231053,0.010554
2016/4/14,0.002025266,0.002145,0.000794214,0.012699
2016/4/15,0.00017444,0.006938,0.000968653,0.019637
2016/4/18,-0.000223166,-0.002897,0.000745487,0.01674
2016/4/19,-5.43225E-05,-0.003819,0.000691165,0.012921
2016/4/20,-0.002611869,-0.012177,-0.001920705,0.000744
2016/4/21,0.001600584,0.003861,-0.00032012,0.004605
2016/4/22,-0.002061431,-0.003969,-0.002381551,0.000636
2016/4/25,-0.00045378,0.002186,-0.002835331,0.002822
2016/4/26,-9.103E-05,0.002358,-0.002926361,0.00518
2016/4/27,-0.000148565,-0.000735,-0.003074926,0.004445
2016/4/28,-0.001183766,-0.008099,-0.004258692,-0.003654
2016/4/29,-0.001660928,-0.009727,-0.005919621,-0.013381
2016/5/3,-0.000764479,-0.008738,-0.0066841,-0.022119
2016/5/4,-0.002045353,-0.014865,-0.008729453,-0.036984
2016/5/5,0.000713157,-0.003163,-0.008016296,-0.040147
2016/5/6,-0.000121033,-0.003716,-0.008137329,-0.043863
2016/5/9,-0.000314411,-0.001482,-0.008451739,-0.045345
2016/5/10,0.000143211,0.004212,-0.008308528,-0.041133
2016/5/11,-0.000378186,-0.003004,-0.008686714,-0.044137
2016/5/12,-0.001046844,-0.002743,-0.009733558,-0.04688
2016/5/13,-0.000651168,-0.00536,-0.010384726,-0.05224
2016/5/16,0.000192677,0.001392,-0.010192049,-0.050848
2016/5/17,0.000680026,0.007475,-0.009512023,-0.043373
2016/5/18,-0.000204554,0.002792,-0.009716577,-0.040581
2016/5/19,-0.000513561,-0.009263,-0.010230138,-0.049844
2016/5/20,0.00024075,0.003229,-0.009989388,-0.046615
2016/5/23,0.000991099,0.024089,-0.008998289,-0.022526
2016/5/24,0.00022745,-0.002462,-0.00877084,-0.024988
2016/5/25,0.000811467,0.009255,-0.007959373,-0.015733
2016/5/26,0.000525993,-0.00092,-0.00743338,-0.016653
2016/5/27,0.000960411,0.007996,-0.006472969,-0.008657
2016/5/30,0.001428853,0.009554,-0.005044116,0.000897
2016/5/31,-0.000226008,0.000569,-0.005270125,0.001466
2016/6/1,0.000928285,0.005532,-0.00434184,0.006998
2016/6/2,-3.62632E-05,-0.005696,-0.004378103,0.001302
2016/6/3,0.000205245,0.002883,-0.004172859,0.004185
2016/6/4,0.000687873,0.001206,-0.003484986,0.005391
2016/6/6,-0.000330104,-0.000472,-0.00381509,0.004919
2016/6/7,0.000934421,0.010267,-0.002880669,0.015186
2016/6/8,4.61512E-05,0.000657,-0.002834518,0.015843
2016/6/13,-0.002296917,-0.020584,-0.005131435,-0.004741
2016/6/14,0.000996516,0.005447,-0.004134918,0.000706
2016/6/15,0.001147466,0.003003,-0.002987452,0.003709
2016/6/16,-0.00058263,-0.012503,-0.003570082,-0.008794
2016/6/17,0.001100769,0.007472,-0.002469313,-0.001322
2016/6/20,0.001474557,0.008083,-0.000994756,0.006761
2016/6/21,0.001007669,0.00532,1.29125E-05,0.012081
2016/6/22,1.53513E-05,0.003782,2.82638E-05,0.015863
